Metodo	Tamanho	Tempo						
Select	100	0,000000						
Insert	100	0,000000						
Bubble	100	0,000000						
Merge	100	0,000000						
Quick	100	0,000000						
Heap	100	0,000000						
Select	1000	0,002000						
Insert	1000	0,002000						
Bubble	1000	0,000000						
Merge	1000	0,000000						
Quick	1000	0,000000						
Heap	1000	0,000000						
Select	10000	0,360000						
Insert	10000	0,070000						
Bubble	10000	0,382000						
Merge	10000	0,001000						
Quick	10000	0,108000						
Heap	10000	0,000000						
Select	50000	8,870000 						
Insert	50000	24,470000						
Bubble	50000	12,428000						
Merge	50000	0,006000						
Quick	50000	1,597000						
Heap	50000	0,001000						
Select	100000	28,482000						
Insert	100000	7,053000						
Bubble	100000	43,701000						
Merge	100000	0,012000						
Quick	100000	1,609000						
Heap	100000	0,002000						
								
								
								
