Metodo;Tamanho;Tempo
Select;100;0,000000
Insert;100;0,000000
Bubble;100;0,000000
Merge;100;0,000000
Quick;100;0,000000
Heap;100;0,000000
Select;1000;0,003000
Insert;1000;0,001000
Bubble;1000;0,005000
Merge;1000;0,000000
Quick;1000;0,000000
Heap;1000;0,000000
Select;10000;0,312000
Insert;10000;0,071000
Bubble;10000;0,355000
Merge;10000;0,002000
Quick;10000;0,002000
Heap;10000;0,005000
Select;50000;7,396000
Insert;50000;1,637000
Bubble;50000;9,898000
Merge;50000;0,010000
Quick;50000;0,011000
Heap;50000;0,017000
Select;100000;24,521000
Insert;100000;6,474000
Bubble;100000;39,705000
Merge;100000;0,023000
Quick;100000;0,022000
Heap;100000;0,033000
Select;100;0,000000
Insert;100;0,000000
Bubble;100;0,000000
Merge;100;0,000000
Quick;100;0,000000
Heap;100;0,000000
Select;1000;0,004000
Insert;1000;0,000000
Bubble;1000;0,005000
Merge;1000;0,000000
Quick;1000;0,000000
Heap;1000;0,001000
Select;10000;0,368000
Insert;10000;0,078000
Bubble;10000;0,383000
Merge;10000;0,002000
Quick;10000;0,001000
Heap;10000;0,004000
Select;50000;7,926000
Insert;50000;1,636000
Bubble;50000;10,046000
Merge;50000;0,012000
Quick;50000;0,014000
Heap;50000;0,017000
Select;100000;24,488000
Insert;100000;6,481000
Bubble;100000;40,051000
Merge;100000;0,024000
Quick;100000;0,021000
Heap;100000;0,033000
Select;100;0,000000
Insert;100;0,000000
Bubble;100;0,000000
Merge;100;0,000000
Quick;100;0,000000
Heap;100;0,000000
Select;1000;0,004000
Insert;1000;0,001000
Bubble;1000;0,004000
Merge;1000;0,000000
Quick;1000;0,000000
Heap;1000;0,000000
Select;10000;0,307000
Insert;10000;0,072000
Bubble;10000;0,356000
Merge;10000;0,002000
Quick;10000;0,002000
Heap;10000;0,003000
Select;50000;7,428000
Insert;50000;1,634000
Bubble;50000;9,908000
Merge;50000;0,011000
Quick;50000;0,010000
Heap;50000;0,016000
Select;100000;24,552000
Insert;100000;6,485000
Bubble;100000;39,672000
Merge;100000;0,020000
Quick;100000;0,023000
Heap;100000;0,032000
